Capacity,Probability,CumProb
0.0,0.0086,1.0000
50.0,0.0000,0.9914
100.0,0.0030,0.9914
150.0,0.0006,0.9885
200.0,0.0029,0.9878
250.0,0.0052,0.9849
300.0,0.0009,0.9798
350.0,0.0098,0.9789
400.0,0.0045,0.9691
450.0,0.0085,0.9646
500.0,0.0058,0.9561
550.0,0.0049,0.9503
600.0,0.0122,0.9454
650.0,0.0088,0.9332
700.0,0.0115,0.9245
750.0,0.0088,0.9129
800.0,0.0150,0.9041
850.0,0.0126,0.8891
900.0,0.0115,0.8765
950.0,0.0143,0.8650
1000.0,0.0145,0.8507
1050.0,0.0173,0.8361
1100.0,0.0146,0.8188
1150.0,0.0176,0.8042
1200.0,0.0171,0.7865
1250.0,0.0188,0.7695
1300.0,0.0183,0.7507
1350.0,0.0172,0.7324
1400.0,0.0206,0.7152
1450.0,0.0197,0.6946
1500.0,0.0202,0.6749
1550.0,0.0190,0.6547
1600.0,0.0207,0.6357
1650.0,0.0207,0.6150
1700.0,0.0197,0.5943
1750.0,0.0206,0.5745
1800.0,0.0202,0.5540
1850.0,0.0209,0.5338
1900.0,0.0199,0.5129
1950.0,0.0198,0.4930
2000.0,0.0196,0.4732
2050.0,0.0197,0.4536
2100.0,0.0193,0.4339
2150.0,0.0184,0.4146
2200.0,0.0186,0.3962
2250.0,0.0181,0.3776
2300.0,0.0176,0.3595
2350.0,0.0169,0.3418
2400.0,0.0167,0.3249
2450.0,0.0163,0.3083
2500.0,0.0156,0.2920
2550.0,0.0152,0.2764
2600.0,0.0145,0.2612
2650.0,0.0142,0.2467
2700.0,0.0135,0.2325
2750.0,0.0129,0.2190
2800.0,0.0124,0.2060
2850.0,0.0120,0.1936
2900.0,0.0114,0.1816
2950.0,0.0108,0.1702
3000.0,0.0103,0.1594
3050.0,0.0098,0.1491
3100.0,0.0094,0.1392
3150.0,0.0088,0.1299
3200.0,0.0084,0.1210
3250.0,0.0079,0.1127
3300.0,0.0075,0.1048
3350.0,0.0070,0.0973
3400.0,0.0066,0.0902
3450.0,0.0062,0.0836
3500.0,0.0058,0.0774
3550.0,0.0055,0.0716
3600.0,0.0051,0.0661
3650.0,0.0048,0.0610
3700.0,0.0045,0.0562
3750.0,0.0042,0.0517
3800.0,0.0039,0.0476
3850.0,0.0036,0.0437
3900.0,0.0033,0.0401
3950.0,0.0031,0.0368
4000.0,0.0029,0.0337
4050.0,0.0027,0.0308
4100.0,0.0025,0.0281
4150.0,0.0023,0.0257
4200.0,0.0021,0.0234
4250.0,0.0019,0.0213
4300.0,0.0018,0.0194
4350.0,0.0016,0.0176
4400.0,0.0015,0.0160
4450.0,0.0014,0.0145
4500.0,0.0012,0.0132
4550.0,0.0011,0.0119
4600.0,0.0010,0.0108
4650.0,0.0009,0.0098
4700.0,0.0009,0.0088
4750.0,0.0008,0.0079
4800.0,0.0007,0.0072
4850.0,0.0006,0.0064
4900.0,0.0006,0.0058
4950.0,0.0005,0.0052
5000.0,0.0005,0.0047
5050.0,0.0004,0.0042
5100.0,0.0004,0.0038
5150.0,0.0004,0.0034
5200.0,0.0003,0.0030
5250.0,0.0003,0.0027
5300.0,0.0003,0.0024
5350.0,0.0002,0.0021
5400.0,0.0002,0.0019
5450.0,0.0002,0.0017
5500.0,0.0002,0.0015
5550.0,0.0002,0.0013
5600.0,0.0001,0.0012
5650.0,0.0001,0.0011
5700.0,0.0001,0.0009
5750.0,0.0001,0.0008
5800.0,0.0001,0.0007
5850.0,0.0001,0.0006
5900.0,0.0001,0.0006
5950.0,0.0001,0.0005
6000.0,0.0001,0.0004
6050.0,0.0000,0.0004
6100.0,0.0000,0.0003
6150.0,0.0000,0.0003
6200.0,0.0000,0.0003
6250.0,0.0000,0.0002
6300.0,0.0000,0.0002
6350.0,0.0000,0.0002
6400.0,0.0000,0.0002
6450.0,0.0000,0.0001
6500.0,0.0000,0.0001
6550.0,0.0000,0.0001
6600.0,0.0000,0.0001
6650.0,0.0000,0.0001
6700.0,0.0000,0.0001
6750.0,0.0000,0.0001
6800.0,0.0000,0.0001
6850.0,0.0000,0.0000
6900.0,0.0000,0.0000
6950.0,0.0000,0.0000
7000.0,0.0000,0.0000
7050.0,0.0000,0.0000
7100.0,0.0000,0.0000
7150.0,0.0000,0.0000
7200.0,0.0000,0.0000
7250.0,0.0000,0.0000
7300.0,0.0000,0.0000
7350.0,0.0000,0.0000
7400.0,0.0000,0.0000
